Bereich,Bezeichnung,Bezugsquelle,Preis,Breite Laserzuschnitt in mm 1,Breite Laserzuschnitt in mm 2,Bauteilgewicht in kg,Materialsärke in mm,Material,Anzahl der Abkantungen,Gesamtlänge aller Aussparungen in mm,Flaeche,Dichte
A,Anschlag,Eigenfertigungsteil,3.58,194.3,80.0,0.74,6.0,S355MC,4,109.9,15544.0,47.60679361811632
A,Rippe,Eigenfertigungsteil,1.17,129.1,72.3,0.269,8.0,S355MC,0,3.14,9333.929999999998,28.819586176455154
A,Mantel,Kaufteil,14.0,177.1,784.0,5.2,5.0,Hardox 400,1,0.0,138846.4,37.451457149771265
A,Verschleissblech,Kaufteil,11.08,80.0,770.0,2.391,5.0,Hardox 400,0,250.0,61600.0,38.814935064935064
A,Verstärkung,Eigenfertigungsteil,3.32,243.2,191.5,1.059,5.0,S355MC,2,100.0,46572.799999999996,22.73859420090697
A,Verstärkung,Eigenfertigungsteil,9.02,350.1,336.0,2.97,5.0,S355MC,4,436.56,117633.6,25.247888358428206
A,Steg li,Eigenfertigungsteil,5.81,408.5,53.0,1.188,12.0,S355MC,2,31.4,21650.5,54.87171196970046
A,Steg re,Eigenfertigungsteil,5.81,408.5,53.0,1.188,12.0,S355MC,2,31.4,21650.5,54.87171196970046
A,Buegel,Eigenfertigungsteil,1.85,122.0,82.0,0.38,8.0,S355MC,2,85.722,10004.0,37.98480607756897
A,Steg re,Eigenfertigungsteil,5.23,283.4,52.8,1.05,12.0,S355MC,2,25.12,14963.519999999999,70.17065503304038
A,Auflageplatte,Eigenfertigungsteil,1.41,20.0,50.0,0.062,10.0,S355MC,0,25.748,1000.0,62.0
A,Verstärkung,Eigenfertigungsteil,3.32,243.2,191.5,1.059,5.0,S355MC,2,100.0,46572.799999999996,22.73859420090697
A,Lasche,Eigenfertigungsteil,1.12,137.5,120.0,0.427,5.0,S355MC,0,38.151,16500.0,25.87878787878788
A,Steg,Kaufteil,3.69,50.0,770.0,2.421,8.0,S235JR,0,0.0,38500.0,62.88311688311688
A,Verstärkung,Eigenfertigungsteil,9.21,180.6,771.0,5.507,5.0,S355MC,1,0.0,139242.6,39.549678043931955
A,Winkelblech,Eigenfertigungsteil,11.18,646.5,428.4,5.179,3.0,S355MC,2,211.2,276960.6,18.69941067429808
A,Platte,Eigenfertigungsteil,4.81,103.0,207.9,0.78,8.0,S700MC,0,181.856,21413.7,36.425279143725746
A,C Profil,Eigenfertigungsteil,17.02,1072.3,218.9,6.937,4.0,S355MC,6,378.98,234726.47,29.553548008454268
A,Winkel,Eigenfertigungsteil,3.42,134.0,140.8,1.149,8.0,S355MC,1,51.496,18867.2,60.89933853459973
A,Blech ,Eigenfertigungsteil,7.66,186.0,352.7,3.038,8.0,S355MC,2,253.2,65602.2,46.309422549853515
A,Knotenblech,Eigenfertigungsteil,3.76,185.5,92.7,1.014,15.0,S355MC,1,0.0,17195.850000000002,58.96771604776733
A,Verstärkung,Eigenfertigungsteil,6.03,320.8,179.6,1.387,5.0,S700MC,2,361.1,57615.68,24.073307821759634
A,Bodenblech,Eigenfertigungsteil,16.58,351.6,496.2,5.34,8.0,S355MC,3,319.194,174463.92,30.608047784321247
A,Lochblech,Eigenfertigungsteil,3.68,236.0,94.0,1.0,10.0,S355MC,0,220.6,22184.0,45.07753335737468
A,Seitenblech,Eigenfertigungsteil,7.03,304.9,332.1,2.989,6.0,S355MC,0,334.41,101257.29,29.51886229623566
A,Abweiser,Eigenfertigungsteil,0.57,50.0,7.0,0.035,15.0,S355MC,0,0.0,350.0,100.0
A,Verschleissblech,Kaufteil,5.25,760.0,60.8,1.8,5.0,HARDOX400,1,0.0,46208.0,38.95429362880886
A,Träger,Eigenfertigungsteil,28.0,952.0,258.3,9.935,6.0,S700MC,1,684.056,245901.6,40.402339797707704
A,Winkel,Eigenfertigungsteil,5.27,729.0,148.1,2.47,3.0,S355MC,1,125.6,107964.9,22.877805657208967
A,Knotenblech re,Eigenfertigungsteil,1.87,135.2,104.0,0.288,4.0,S355MC,2,0.0,14060.8,20.482476103777877
A,Buegel,Eigenfertigungsteil,2.74,135.0,138.8,1.036,8.0,S355MC,0,0.0,18738.0,55.28871811292561
A,Winkel li,Eigenfertigungsteil,3.17,127.0,170.1,0.767,8.0,S355MC,1,225.79,21602.7,35.50482115661468
A,Winkel re,Eigenfertigungsteil,3.17,127.0,170.1,0.767,8.0,S355MC,1,225.79,21602.7,35.50482115661468
