Id;Bereich;Sachnummer;Bezeichnung;Bezugsquelle;Preis;Breite Laserzuschnitt in mm;Breite Laserzuschnitt in mm;Bauteilgewicht in kg;Materialsärke in mm;Material;Anzahl der Abkantungen;Laseraussparungen vorhanden? Wenn ja: Gesamtlänge aller Aussparungen in mm
1;A;1376209;Anschlag;Eigenfertigungsteil;3,58;194,3;80;0,74;6;S355MC;4;109,9
2;A;1328576;Rippe;Eigenfertigungsteil;1,17;129,1;72,3;0,269;8;S355MC;0;3,14
3;A;26405944;Mantel;Kaufteil;14;177,1;784;5,2;5;Hardox 400;1;0
4;A;2601581;Verschleissblech;Kaufteil;11,08;80;770;2,391;5;Hardox 400;0;250
5;A;1412785;Verstärkung;Eigenfertigungsteil;3,32;243,2;191,5;1,059;5;S355MC;2;100
6;A;2675312;Verstärkung;Eigenfertigungsteil;9,02;350,1;336;2,97;5;S355MC;4;436,56
7;A;26258211;Steg li;Eigenfertigungsteil;5,81;408,5;53;1,188;12;S355MC;2;31,4
8;A;2650934;Steg re;Eigenfertigungsteil;5,81;408,5;53;1,188;12;S355MC;2;31,4
9;A;4917951;Buegel;Eigenfertigungsteil;1,85;122;82;0,38;8;S355MC;2;85,722
10;A;2609513;Steg re;Eigenfertigungsteil;5,23;283,4;52,8;1,05;12;S355MC;2;25,12
11;A;2921341;Auflageplatte;Eigenfertigungsteil;1,41;20;50;0,062;10;S355MC;0;25,748
12;A;1421560;Verstärkung;Eigenfertigungsteil;3,32;243,2;191,5;1,059;5;S355MC;2;100
13;A;2751407;Lasche;Eigenfertigungsteil;1,12;137,5;120;0,427;5;S355MC;0;38,151
14;A;9489631;Steg;Kaufteil;3,69;50;770;2,421;8;S235JR;0;0
15;A;2751488;Verstärkung;Eigenfertigungsteil;9,21;180,6;771;5,507;5;S355MC;1;0
16;A;1398153;Winkelblech;Eigenfertigungsteil;11,18;646,5;428,4;5,179;3;S355MC;2;211,2
17;A;1382221;Platte;Eigenfertigungsteil;4,81;103;207,9;0,78;8;S700MC;0;181,856
18;A;9226781;C Profil;Eigenfertigungsteil;17,02;1072,3;218,9;6,937;4;S355MC;6;378,98
19;A;4810670;Winkel;Eigenfertigungsteil;3,42;134;140,8;1,149;8;S355MC;1;51,496
20;A;4822859;Blech ;Eigenfertigungsteil;7,66;186;352,7;3,038;8;S355MC;2;253,2
21;A;4833712;Knotenblech;Eigenfertigungsteil;3,76;185,5;92,7;1,014;15;S355MC;1;0
22;A;4810519;Verstärkung;Eigenfertigungsteil;6,03;320,8;179,6;1,387;5;S700MC;2;361,1
23;A;2670910;Bodenblech;Eigenfertigungsteil;16,58;351,6;496,2;5,34;8;S355MC;3;319,194
24;A;1412439;Lochblech;Eigenfertigungsteil;3,68;236;94;1;10;S355MC;0;220,6
25;A;2626742;Seitenblech;Eigenfertigungsteil;7,03;304,9;332,1;2,989;6;S355MC;0;334,41
26;A;2610793;Abweiser;Eigenfertigungsteil;0,57;50;7;0,035;15;S355MC;0;0
27;A;1318972;Verschleissblech;Kaufteil;5,25;760;60,8;1,8;5;HARDOX400;1;0
28;A;2686903;Träger;Eigenfertigungsteil;28;952;258,3;9,935;6;S700MC;1;684,056
29;A;2609274;Winkel;Eigenfertigungsteil;5,27;729;148,1;2,47;3;S355MC;1;125,6
30;A;2609317;Knotenblech re;Eigenfertigungsteil;1,87;135,2;104;0,288;4;S355MC;2;0
31;A;1480084;Buegel;Eigenfertigungsteil;2,74;135;138,8;1,036;8;S355MC;0;0
32;A;2621345;Winkel li;Eigenfertigungsteil;3,17;127;170,1;0,767;8;S355MC;1;225,79
33;A;2621339;Winkel re;Eigenfertigungsteil;3,17;127;170,1;0,767;8;S355MC;1;225,79
34;A;1383794;Profil;Eigenfertigungsteil;2,59;110;167,3;0,281;4;S355MC;2;131,88
35;A;2604820;Lasche;Eigenfertigungsteil;0,42;43;53,4;0,06;5;S355MC;0;39,25
36;A;6047197;Lasche;Eigenfertigungsteil;1,02;81,6;77,6;0,139;8;S355MC;0;69
37;A;2621028;Platte li;Kaufteil;24,91;272,8;450,2;7,515;20;S355MC;0;693,312
38;A;2621088;Platte re;Kaufteil;21,79;248,9;428,4;7,298;20;S355MC;0;580,586
39;A;6173320;Einweisblech;Eigenfertigungsteil;0,97;79,6;49;0,207;12;S355MC;0;0
40;A;2612081;Lasche li;Eigenfertigungsteil;1,15;40;49,1;0,054;6;S355MC;1;48,82
41;A;2692812;Lasche re;Eigenfertigungsteil;1,15;40;49,1;0,054;6;S355MC;1;48,82
42;A;2621281;Winkel re;Eigenfertigungsteil;1,13;49;70,1;0,074;5;S355MC;1;0
43;A;2631683;Knoten;Eigenfertigungsteil;0,72;107,6;65,5;0,165;6;S355MC;0;0
44;A;2609349;Knotenblech li;Eigenfertigungsteil;1,87;105;135,2;0,288;4;S355MC;2;0
45;A;2681173;Verstärkung ;Kaufteil;3,65;160,9;84,1;1,29;12;S700MC;0;142,4
46;A;6092978;Seitenwand li;Kaufteil;105,76;679,9;866,1;16,978;8;S355MC;1;2908,58
47;A;6092783;Z Profil;Eigenfertigungsteil;4,35;253,3;118;1,256;5;S355MC;2;178,98
48;A;1389212;Zwischenblech;Eigenfertigungsteil;34,5;952;278,9;11,694;6;S700MC;4;62,8
49;A;2686552;Winkel;Eigenfertigungsteil;5,93;728;105,3;2,195;4;S355MC;2;1501,2
50;A;1408731;Platte;Kaufteil;3,22;161,3;71,4;0,581;8;S355MC;0;123
51;B;2707129;Strebe mi;Eigenfertigungsteil;3,19;354,7;129;0,86;3;S355MC;2;687,54
52;B;2614230;Deckel re un;Eigenfertigungsteil;2,92;173,9;122,5;0,427;4;S700MC;1;381,23
53;B;6129764;Winkelblech mi;Eigenfertigungsteil;6,34;383,4;352,5;1,702;3;S700MC;4;39,878
54;B;6070012;Ausgleichsscheibe;Eigenfertigungsteil;0,74;128,5;61,4;0,171;3;S700MC;0;0
55;B;2614523;Füllplatte re;Eigenfertigungsteil;3,35;254,3;242,2;0,948;4;S355MC;1;639,66
56;B;6093817;Steg vo re;Eigenfertigungsteil;4,91;297,1;234,4;1,523;6;S355MC;2;139,416
57;B;6219140;Strebe re in;Eigenfertigungsteil;6,84;614,2;160,9;1,353;3;STRENX 700MC;1;851,3886
58;B;2760629;Deckel vo;Eigenfertigungsteil;6,21;387,6;336,7;2,08;3;STRENX 700MC;1;209
59;B;2766330;Platte;Eigenfertigungsteil;3,3;128;81;0,716;15;S355MC;0;0
60;B;2602769;Deckel;Eigenfertigungsteil;45,25;1428,5;646,7;9,872;3;S700MC;0;3600
61;B;6146419;Deckel li un;Eigenfertigungsteil;2,92;173,9;122,5;0,427;4;S700MC;1;381,23
62;B;6087840;Steg vo li;Eigenfertigungsteil;4,91;297,1;234,4;1,523;6;S355MC;2;139,416
63;B;6100441;Stehblech;Eigenfertigungsteil;3;242,2;123;0,57;4;S700MC;0;188,4
64;B;6106279;Strebe li;Eigenfertigungsteil;6,18;524,1;145,4;1,042;3;STRENX 700MC;3;878,16
65;B;6156572;Strebe re au;Eigenfertigungsteil;6,61;593,5;145,5;1,215;3;STRENX 700MC;3;878,16
66;B;6157013;Strebe vo;Eigenfertigungsteil;2,99;357,1;119,8;0,534;3;S355MC;1;710,07
67;B;6157025;Strebe hi;Eigenfertigungsteil;1,15;153,5;123;0,251;3;S355MC;0;174,27
68;B;2605653;Strebe mi;Eigenfertigungsteil;3,38;382;124;0,71;3;S355MC;2;630,64
69;B;2602178;Strebe li au;Eigenfertigungsteil;6,61;593,5;145,5;1,215;3;STRENX 700MC;3;878,16
70;B;6129784;Strebe li in;Eigenfertigungsteil;6,84;614,2;160,9;1,353;3;STRENX 700MC;1;851,3886
71;B;6129806;Strebe re;Eigenfertigungsteil;6,39;524,1;145,4;1,042;3;STRENX 700MC;3;878,16
72;B;6165981;Strebe mi;Eigenfertigungsteil;3,38;382;124;0,71;3;S355MC;2;630,64
73;B;2614649;Deckel li un;Eigenfertigungsteil;2,92;173,9;122,5;0,427;4;S700MC;1;381,23
74;B;4954691;Verstärkung;Eigenfertigungsteil;2,56;350;89;0,946;5;S355MC;0;251,2
75;B;6079621;Verstärkung;Eigenfertigungsteil;0,24;58;58;0,04;4;S355MC;0;0
76;B;2607689;Platte;Eigenfertigungsteil;3,12;167,5;163,1;0,802;8;S355MC;0;213,52
77;B;6079701;Verstärkung;Eigenfertigungsteil;1,19;180;82;0,485;5;S355MC;0;39
78;B;6079759;Abdeckblech;Eigenfertigungsteil;6,29;791;175,9;3,214;3;S355MC;1;0
