Preis,Breite Laserzuschnitt in mm 1,Breite Laserzuschnitt in mm 2,Bauteilgewicht in kg,Materialsärke in mm,Anzahl der Abkantungen,Gesamtlänge aller Aussparungen in mm,Flaeche,Dichte,Bereich_B,Bereich_C,Bereich_D,Bezeichnung_Abdeckung,Bezeichnung_Abweiser,Bezeichnung_Anschlag,Bezeichnung_Auflage li,Bezeichnung_Auflageplatte,Bezeichnung_Ausgleichsscheibe,Bezeichnung_Blech,Bezeichnung_Blech ,Bezeichnung_Bodenblech,Bezeichnung_Bodenblech li,Bezeichnung_Bodenblech re,Bezeichnung_Buegel,Bezeichnung_C Profil,Bezeichnung_Deckel,Bezeichnung_Deckel li un,Bezeichnung_Deckel re un,Bezeichnung_Deckel vo,Bezeichnung_Einhängelasche,Bezeichnung_Einweisblech,Bezeichnung_Endblech,Bezeichnung_Flanschplatte,Bezeichnung_Füllplatte re,Bezeichnung_Getriebehalter,Bezeichnung_Getriebekonsole,Bezeichnung_Knoten,Bezeichnung_Knotenblech,Bezeichnung_Knotenblech li,Bezeichnung_Knotenblech re,Bezeichnung_Konsole,Bezeichnung_Konsole re,Bezeichnung_Lagerblech li,Bezeichnung_Lagerblech re,Bezeichnung_Lasche,Bezeichnung_Lasche hi,Bezeichnung_Lasche li,Bezeichnung_Lasche re,Bezeichnung_Lasche vo,Bezeichnung_Lochblech,Bezeichnung_Lochplatte,Bezeichnung_Längsträger li ob,Bezeichnung_Mantel,Bezeichnung_Oberteil,Bezeichnung_Platte,Bezeichnung_Platte li,Bezeichnung_Platte re,Bezeichnung_Profil,Bezeichnung_Rippe,Bezeichnung_Rückwand li,Bezeichnung_Rückwand re,Bezeichnung_Seitenblech,Bezeichnung_Seitenwand li,Bezeichnung_Steg,Bezeichnung_Steg li,Bezeichnung_Steg re,Bezeichnung_Steg vo li,Bezeichnung_Steg vo re,Bezeichnung_Stehblech,Bezeichnung_Strebe hi,Bezeichnung_Strebe li,Bezeichnung_Strebe li au,Bezeichnung_Strebe li in,Bezeichnung_Strebe mi,Bezeichnung_Strebe re,Bezeichnung_Strebe re au,Bezeichnung_Strebe re in,Bezeichnung_Strebe vo,Bezeichnung_Träger,Bezeichnung_Träger li,Bezeichnung_U-Blech,Bezeichnung_Unterteil,Bezeichnung_Verschleissblech,Bezeichnung_Verstärkung,Bezeichnung_Verstärkung ,Bezeichnung_Verstärkung hi,Bezeichnung_Verstärkung vo,Bezeichnung_Winkel,Bezeichnung_Winkel li,Bezeichnung_Winkel re,Bezeichnung_Winkelblech,Bezeichnung_Winkelblech mi,Bezeichnung_Z Profil,Bezeichnung_Zwischenblech,Bezugsquelle_Kaufteil,Material_HARDOX400,Material_Hardox 400,Material_S235JR,Material_S355MC,Material_S355MC ,Material_S550MC,Material_S700MC,Material_STRENX 700MC
3.58,194.3,80.0,0.74,6.0,4,109.9,15544.0,47.60679361811632,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.17,129.1,72.3,0.269,8.0,0,3.14,9333.929999999998,28.819586176455154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
14.0,177.1,784.0,5.2,5.0,1,0.0,138846.4,37.451457149771265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
11.08,80.0,770.0,2.391,5.0,0,250.0,61600.0,38.814935064935064,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
3.32,243.2,191.5,1.059,5.0,2,100.0,46572.8,22.73859420090697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
9.02,350.1,336.0,2.97,5.0,4,436.56,117633.6,25.24788835842821,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5.81,408.5,53.0,1.188,12.0,2,31.4,21650.5,54.87171196970046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5.81,408.5,53.0,1.188,12.0,2,31.4,21650.5,54.87171196970046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.85,122.0,82.0,0.38,8.0,2,85.722,10004.0,37.98480607756897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5.23,283.4,52.8,1.05,12.0,2,25.12,14963.52,70.17065503304038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.41,20.0,50.0,0.062,10.0,0,25.748,1000.0,62.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.32,243.2,191.5,1.059,5.0,2,100.0,46572.8,22.73859420090697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.12,137.5,120.0,0.427,5.0,0,38.151,16500.0,25.87878787878788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.69,50.0,770.0,2.421,8.0,0,0.0,38500.0,62.88311688311688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
9.21,180.6,771.0,5.507,5.0,1,0.0,139242.6,39.549678043931955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
11.18,646.5,428.4,5.179,3.0,2,211.2,276960.6,18.69941067429808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
4.81,103.0,207.9,0.78,8.0,0,181.856,21413.7,36.425279143725746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
17.02,1072.3,218.9,6.937,4.0,6,378.98,234726.47,29.553548008454268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.42,134.0,140.8,1.149,8.0,1,51.496,18867.2,60.89933853459973,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7.66,186.0,352.7,3.038,8.0,2,253.2,65602.2,46.309422549853515,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.76,185.5,92.7,1.014,15.0,1,0.0,17195.850000000002,58.96771604776733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6.03,320.8,179.6,1.387,5.0,2,361.1,57615.68,24.07330782175963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16.58,351.6,496.2,5.34,8.0,3,319.194,174463.92,30.608047784321247,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.68,236.0,94.0,1.0,10.0,0,220.6,22184.0,45.07753335737468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7.03,304.9,332.1,2.989,6.0,0,334.41,101257.29,29.51886229623566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.57,50.0,7.0,0.035,15.0,0,0.0,350.0,100.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
